#,作品名稱,分類,子分類,客戶,年份,連結,圖片數,工具,作品說明
"1","張學友 60+ 巡迴演唱會","EXH","CONCERT","張學友 Jacky Cheung","2023","https://youtu.be/Y9zvFpd1Etw","2","Unreal, After Effects",""
"2","Opening Title — 2025 League of Legends Pacific Championship","AD","AD · OPENING TITLE","LoL Pacific Championship","2025","https://youtu.be/8lINMspqVDo","2","Unreal, Maya, After Effects",""
"3","Into the Future — MSI Virtual Premiere Event 2025","AD","AD · EVENT","MSI","2025","https://youtu.be/Bmqoc-wYEHM","2","Unreal, Maya, After Effects",""
"4","MSIology 2025 發表會","AD","AD · EVENT","MSI","2025","https://youtu.be/sD51lsOyflY","2","Unreal, After Effects",""
"5","佛陀足跡沉浸式劇場","EXH","EXHIBITION","慈濟中正靜思堂","2026","https://youtu.be/uFo_JZRcGLk","2","Unreal, Maya, After Effects",""
"6","高雄追光季「城市光流」","EXH","EXHIBITION","高雄市政府","2019","https://youtu.be/u8K2Sx4LflM","2","Unreal, After Effects",""
"7","台中海洋館－海洋學園","EXH","EXHIBITION","台中海洋館","2025","https://youtu.be/Ev_9AEj4Ifw","2","Unreal, Maya",""
"8","R.E.D 广州站 — Higher","EXH","CONCERT","R.E.D","2026","https://www.bilibili.com/video/BV118bX6eExv","2","Unreal, After Effects",""
"9","2025 陸虎［像你這樣的朋友 2.0］","EXH","CONCERT","陆虎 Lu Hu","2025","https://www.bilibili.com/video/BV1tuLzzyEES","3","Unreal, After Effects",""
"10","2026 陸虎［像你這樣的朋友 3.0］","EXH","CONCERT","陆虎 Lu Hu","2026","https://www.bilibili.com/video/BV1Bg336sEu8","1","Unreal, After Effects",""
"11","輪迴 Reincarnation","MV","MV","InFission","2025","https://youtu.be/tLcXPxvZNtY","2","Unreal, Maya",""
"12","10000次 Ten Thousand Times","MV","MV","陳零九 Nine Chen","2022","https://youtu.be/sdghbAEl0-o","2","Unreal, Maya",""
"13","The All-New Ford Kuga","AD","AD","Ford Taiwan","2024","https://youtu.be/vbBIB7EHGJ4","2","Unreal, Maya, Substance",""
"14","Claw A1M – Grip and Game","AD","AD","MSI","2024","https://youtu.be/TnSrz4Dk5-U","2","Unreal, Maya, Substance",""
"15","一起下地獄 TO HELL WITH ME","VR","VR","夢想創造 Moonshine Creation","2026","https://youtu.be/irSC_9r3td4","2","Unreal, Maya",""
"16","麥當勞 40 週年【簡單的快樂篇】× 蕭雅全","AD","AD","McDonald's","2023","https://youtu.be/rTBCdeZGgkI","2","Unreal, Maya, Substance",""
"17","半晴天","MV","MV","陶喆 David Tao","2025","https://youtu.be/x1J6ukR3Qrs","2","Unreal, Maya, Substance",""
"18","光之呼吸","AD","AD","新光保全","2026","https://youtu.be/lxmVTHLcQ84","2","Unreal, Maya, Substance",""
"19","Cyborg 15 A13V – Cyber-Up!","AD","AD","MSI","2023","https://youtu.be/H1PGMDA6C6A","2","Unreal, Maya, Substance",""
"20","Cyborg 14 A13V – Cyber-Up!","AD","AD","MSI","2024","https://youtu.be/JjHpWTDkrCg","2","Unreal, Maya, Substance",""
"21","Voice of the Rebels – EP01 Heroes","AN","ANIMATION","ROG","2023","https://youtu.be/td2f1qpJxLg","2","Unreal, Maya, Substance, After Effects",""
"22","Get TUF. Game Tough","AN","ANIMATION","ASUS TUF Gaming","2022","https://youtu.be/NuexSRa2x_s","2","Unreal, Maya, Substance, After Effects",""
"23","重返第一法庭．噍吧哖世紀大審判","VR","VR","VR 體驗","2024","https://youtu.be/P9WFkstVlZ4","5","Unreal, Maya",""
"24","Le Carnaval des animaux immersif","EXH","EXHIBITION","OASIS immersion","2025","https://youtu.be/ykl3faOyhPo","4","Unreal, After Effects",""
"25","虎利《Hoory》同名單曲","AD","AD","萬事全支付","2026","https://youtu.be/bTLm4Tbckiw","2","Unreal, Maya",""
"26","SAKURA AI NOW 線上新品發佈記者會","AD","AD · LIVE","SAKURA","2025","https://youtu.be/OuQhHiKZwAw","2","Unreal, After Effects",""
"27","Adata Ask Mera Anything","AN","ANIMATION","產品動畫","2022","https://youtu.be/0sNtPlK5DuI","2","Unreal, Maya, After Effects",""
"28","虛華的夢想是一支刀","MV","MV · VP","黃奇斌 Ng KiPin","2026","https://youtu.be/Nk1FoNw7G2g","2","Unreal, Substance, Maya",""
"29","Every Single Time","MV","MV · VP","姜濤 Keung To","2024","https://youtu.be/z2pjdyw7fKg","2","Unreal, Substance, Maya",""
"30","從未見過的海 Beyond The Sea","MV","MV · VP","告五人 Accusefive","2025","https://youtu.be/0aqjO51VeMg","3","Unreal, Substance, Maya",""
"31","VW ID. Buzz「Good Time Machine」","AD","AD · VP","福斯商旅 Volkswagen","2024","https://youtu.be/--0WcmsGQ8I","2","Unreal, Substance, Maya",""
"32","The Best Christmas Gifts Have Landed","AD","AD · VJ","STARLUX Airlines","2025","https://youtu.be/o1le3cqBjfg","2","Unreal, After Effects",""
"33","MEG, MPG & MAG Series","AN","ANIMATION","MSI","2024","https://youtu.be/IO95TCWpTSg","2","Unreal, Substance, Maya, After Effects",""
"34","hongu' Utax 彩虹","VR","VR · ANIMATION","VR 動畫","2025","https://youtu.be/gX3xJbY_U3U","3","Unreal, Maya",""
"35","Uncharted Maple Forest","AN","ANIMATION","Unreal Engine 4.27","2022","https://youtu.be/3K5tE6IWUpg","2","Unreal",""
"36","Sphere-Meta","AN","ANIMATION","動畫","2023","","2","Unreal",""
"37","DownCity","AN","ANIMATION","Unreal Engine 5.1","2024","","5","Unreal",""
